id,slug,title,url,http_code,final_url,reason
1270,enforcement-addendum-%c2%b7-publisher-studio-intelligence-layer-%c2%b7-token-auth-deterministic-explain-%c2%b7-v1-0,[ARCHIVE] Enforcement Addendum · Publisher Studio Intelligence Layer · Token Auth + Deterministic Explain · v1.0 (unlinked->private 1270),https://peoplerun.ai/enforcement-addendum-%c2%b7-publisher-studio-intelligence-layer-%c2%b7-token-auth-deterministic-explain-%c2%b7-v1-0/,404,error,
1269,enforcement-addendum-%c2%b7-social-visual-system-%c2%b7-unpaid-%c2%b7-freeze-extension-%c2%b7-v1-0,[ARCHIVE] Enforcement Addendum · Social Visual System · Unpaid · Freeze Extension · v1.0 (unlinked->private 1269),https://peoplerun.ai/enforcement-addendum-%c2%b7-social-visual-system-%c2%b7-unpaid-%c2%b7-freeze-extension-%c2%b7-v1-0/,404,error,
1267,hard-surface-social-visual-system-unpaid-2,Hard Surface: Social Visual System (Unpaid),https://peoplerun.ai/hard-surface-social-visual-system-unpaid-2/,404,error,
1266,hard-surface-social-visual-system-unpaid,Hard Surface — Social Visual System (Unpaid),https://peoplerun.ai/hard-surface-social-visual-system-unpaid/,404,error,
1265,micro-expander-system-specification,Micro Expander — System Specification,https://peoplerun.ai/micro-expander-system-specification/,404,error,
1264,hard-surface-social-media-plan-unpaid,Hard Surface — Social Media Plan (Unpaid),https://peoplerun.ai/hard-surface-social-media-plan-unpaid/,404,error,
1262,build-document-hard-surface-github-mirror-freeze-safe-2,[ARCHIVE] Build Document — Hard Surface GitHub Mirror (Freeze-Safe) (dup 1262),https://peoplerun.ai/build-document-hard-surface-github-mirror-freeze-safe-2/,404,error,
1260,build-document-hard-surface-github-mirror-freeze-safe,Build Document — Hard Surface GitHub Mirror (Freeze-Safe),https://peoplerun.ai/build-document-hard-surface-github-mirror-freeze-safe/,404,error,
1259,system-state-preservation-weekend-freeze,[ARCHIVE] System State Preservation (Weekend Freeze) (unlinked->private 1259),https://peoplerun.ai/system-state-preservation-weekend-freeze/,404,error,
1251,canonical-structure-in-practice-issue-10,"Canonical Structure, In Practice Issue 10",https://peoplerun.ai/canonical-structure-in-practice-issue-10/,404,error,
1250,build-document-phase-ii-a-control-surface-specification,Build Document — Phase II-A: Control Surface Specification,https://peoplerun.ai/build-document-phase-ii-a-control-surface-specification/,404,error,
1248,build-document-phase-i-admin-console-registry-guardrails-publisher-drift-detection,"Build Document — Phase I: Admin Console, Registry, Guardrails, Publisher, Drift Detection",https://peoplerun.ai/build-document-phase-i-admin-console-registry-guardrails-publisher-drift-detection/,404,error,
1246,build-document-community-console-primitives-namespace-registry-publisher-router,Build Document — Community Console Primitives (Namespace • Registry • Publisher • Router),https://peoplerun.ai/build-document-community-console-primitives-namespace-registry-publisher-router/,404,error,
1240,install-peoplerun-ai,[ARCHIVE] Install PeopleRun AI (unlinked->private 1240),https://peoplerun.ai/install-peoplerun-ai/,404,error,
1217,build-document-hard-jump-resolver-hjr-v1-0-soft-fail,Build Document — Hard-Jump Resolver (HJR) v1.0 (Soft-Fail),https://peoplerun.ai/build-document-hard-jump-resolver-hjr-v1-0-soft-fail/,404,error,
1214,build-document-imagecraft-hard-enforcement-rule,Build Document — ImageCraft Hard Enforcement Rule,https://peoplerun.ai/build-document-imagecraft-hard-enforcement-rule/,404,error,
1212,build-documents,Build Documents,https://peoplerun.ai/build-documents/,404,error,
1211,build-document-paid-from-day-one-public-access,Build Document — Paid-From-Day-One Public Access,https://peoplerun.ai/build-document-paid-from-day-one-public-access/,404,error,
1205,the-product-arc-how-offers-stack,[ARCHIVE] The Product Arc — How Offers Stack (unlinked->private 1205),https://peoplerun.ai/the-product-arc-how-offers-stack/,404,error,
1200,overview-funnels-products,[ARCHIVE] Overview — Funnels &amp; Products (unlinked->private 1200),https://peoplerun.ai/overview-funnels-products/,404,error,
1193,entry-peoplerunai-org-knowledge-lessons,[ARCHIVE] PeopleRunAI.org — Entry - Knowledge &amp; Lessons (unlinked->private 1193),https://peoplerun.ai/entry-peoplerunai-org-knowledge-lessons/,404,error,
1192,entry-peoplerunai-net-community,[ARCHIVE] PeopleRunAI.net — Entry Community (unlinked->private 1192),https://peoplerun.ai/entry-peoplerunai-net-community/,404,error,
1190,entry-peoplerunai-com-funnels-products,[ARCHIVE] PeopleRunAI.com — Entry - Funnels &amp; Products (unlinked->private 1190),https://peoplerun.ai/entry-peoplerunai-com-funnels-products/,404,error,
1179,canonical-structure-in-practice-newsletter-center,"[CENTER] Canonical Structure, In Practice — Newsletter Center",https://peoplerun.ai/canonical-structure-in-practice-newsletter-center/,404,error,
1177,newsletter-visual-style-baseline,Newsletter Visual Style Baseline,https://peoplerun.ai/newsletter-visual-style-baseline/,404,error,
1174,newsletter-guardrail-protocol,Newsletter Guardrail Protocol,https://peoplerun.ai/newsletter-guardrail-protocol/,404,error,
1165,canonical-structure-in-practice-issue-09,"Canonical Structure, In Practice Issue 09",https://peoplerun.ai/canonical-structure-in-practice-issue-09/,404,error,
854,canonical-structure-in-practice-issue-08,"Canonical Structure, in Practice Issue 08",https://peoplerun.ai/canonical-structure-in-practice-issue-08/,404,error,
1114,canonical-structure-in-practice-issue-01,"Canonical Structure, In Practice Issue 01",https://peoplerun.ai/canonical-structure-in-practice-issue-01/,404,error,
758,canonical-structure-in-practice-issue-07,"Canonical Structure, In Practice Issue 07",https://peoplerun.ai/canonical-structure-in-practice-issue-07/,404,error,
1135,canonical-structure-in-practice-issue-06,"Canonical Structure, In Practice Issue 06",https://peoplerun.ai/canonical-structure-in-practice-issue-06/,404,error,
1131,canonical-structure-in-practice-issue-05,"Canonical Structure, In Practice Issue 05",https://peoplerun.ai/canonical-structure-in-practice-issue-05/,404,error,
456,canonical-structure-in-practice-issue-02,"Canonical Structure, In Practice Issue 02",https://peoplerun.ai/canonical-structure-in-practice-issue-02/,404,error,
1122,canonical-structure-in-practice-issue-04,"Canonical Structure, In Practice Issue 04",https://peoplerun.ai/canonical-structure-in-practice-issue-04/,404,error,
1118,canonical-structure-in-practice-issue-03,"Canonical Structure, In Practice Issue 03",https://peoplerun.ai/canonical-structure-in-practice-issue-03/,404,error,
1091,3-lane-engine-systems,[ARCHIVE] 3-Lane Engine — Systems (unlinked->private 1091),https://peoplerun.ai/3-lane-engine-systems/,404,error,
1074,peoplerun-ai-architecture-spine-3,PeopleRun AI — Architecture Spine,https://peoplerun.ai/peoplerun-ai-architecture-spine-3/,404,error,
1008,youre-in-welcome-to-the-loop,[ARCHIVE] You’re In — Welcome to the Loop (unlinked->private 1008),https://peoplerun.ai/youre-in-welcome-to-the-loop/,404,error,
1011,new-user-qa,[ARCHIVE] New User Q&amp;A (unlinked->private 1011),https://peoplerun.ai/new-user-qa/,404,error,
1012,build-your-first-system,[ARCHIVE] Build Your First System (unlinked->private 1012),https://peoplerun.ai/build-your-first-system/,404,error,
1006,your-first-24-hours-with-peoplerun-ai,[ARCHIVE] Your First 24 Hours with PeopleRun AI (unlinked->private 1006),https://peoplerun.ai/your-first-24-hours-with-peoplerun-ai/,404,error,
1009,start-here-your-installation-path,Start Here — Your Installation Path,https://peoplerun.ai/start-here-your-installation-path/,404,error,
1013,the-peoplerun-ai-installation-loop,[ARCHIVE] The PeopleRun AI Installation Loop (unlinked->private 1013),https://peoplerun.ai/the-peoplerun-ai-installation-loop/,404,error,
1050,micro-expand-component-magazine-1-standard-v1-1,Micro Expand Component (Magazine 1 Standard v1.1),https://peoplerun.ai/micro-expand-component-magazine-1-standard-v1-1/,404,error,
